epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
137,245.903,0.36167,0.24694,0.86044,0.92373,0.98684,0.96714,0.86245,0.50743,0.3835,0.97127,0.0002048,0.0002048,0.0002048
138,247.635,0.34621,0.26036,0.84343,0.93567,1,0.97105,0.85714,0.52872,0.37804,0.97228,0.0001916,0.0001916,0.0001916
139,249.378,0.36207,0.25988,0.8571,0.91979,0.98684,0.96899,0.87485,0.53495,0.36162,0.97659,0.0001784,0.0001784,0.0001784
140,251.161,0.34617,0.2469,0.84179,0.90367,1,0.97462,0.88063,0.53699,0.36036,0.98996,0.0001652,0.0001652,0.0001652
141,263.627,0.31557,0.22722,0.83725,0.93658,0.98684,0.98034,0.87148,0.52924,0.3804,0.96406,0.000152,0.000152,0.000152
142,265.346,0.30186,0.2191,0.81496,0.93632,0.98684,0.97921,0.86368,0.5547,0.37798,0.97851,0.0001388,0.0001388,0.0001388
143,267.072,0.30179,0.21463,0.81379,0.94282,0.98684,0.98055,0.86931,0.53866,0.36762,0.96165,0.0001256,0.0001256,0.0001256
144,268.802,0.31822,0.2145,0.83121,0.94576,0.98684,0.97797,0.86851,0.54824,0.35812,0.97186,0.0001124,0.0001124,0.0001124
145,270.555,0.301,0.20342,0.81143,0.94616,0.98684,0.97469,0.85854,0.56067,0.36467,0.97669,9.92e-05,9.92e-05,9.92e-05
146,272.28,0.29742,0.20852,0.8108,0.94579,0.98684,0.97478,0.86005,0.55315,0.36477,0.98058,8.6e-05,8.6e-05,8.6e-05
147,274.009,0.29074,0.20389,0.81542,0.94575,0.98684,0.97828,0.85872,0.56513,0.36498,0.99699,7.28e-05,7.28e-05,7.28e-05
148,275.746,0.28395,0.20147,0.81507,0.94453,0.98684,0.97504,0.85462,0.56969,0.37596,0.99998,5.96e-05,5.96e-05,5.96e-05
149,277.48,0.33429,0.21686,0.85947,0.94341,0.98684,0.97427,0.85402,0.55592,0.37729,0.98955,4.64e-05,4.64e-05,4.64e-05
150,279.206,0.29202,0.1979,0.81521,0.94303,0.98684,0.97486,0.85521,0.54529,0.37227,0.98144,3.32e-05,3.32e-05,3.32e-05
